Difficulty,Question,Answer
Easy,"What is the chemical formula for carbon dioxide?","The chemical formula for carbon dioxide is CO₂, consisting of one carbon atom bonded to two oxygen atoms."
Easy,"What are the three main types of rock?","The three main types of rock are igneous (formed from cooled magma), sedimentary (formed from compressed layers), and metamorphic (formed by heat and pressure)."
Easy,"Which organelle controls the activities of a cell?","The nucleus controls the activities of a cell by containing the cell's DNA and regulating gene expression and cell reproduction."
Easy,"What is the difference between mass and weight?","Mass is the amount of matter in an object and remains constant, while weight is the force of gravity acting on that mass and can change with location."
Easy,"What type of mixture can be separated by filtration?","A heterogeneous mixture with particles of different sizes can be separated by filtration, such as sand and water or coffee grounds and water."
Easy,"What is the main function of red blood cells?","Red blood cells transport oxygen from the lungs to body tissues and carry carbon dioxide from tissues back to the lungs for elimination."
Easy,"Which type of wave requires a medium to travel through?","Mechanical waves require a medium to travel through, such as sound waves traveling through air, water, or solid materials."
Easy,"What is the pH of pure water at room temperature?","Pure water has a pH of 7 at room temperature, making it neutral on the pH scale that ranges from 0 to 14."
Easy,"What is the powerhouse of the cell?","Mitochondria are called the powerhouse of the cell because they produce ATP (energy) through cellular respiration."
Easy,"Which gas do plants absorb from the atmosphere during photosynthesis?","Plants absorb carbon dioxide from the atmosphere during photosynthesis and convert it into glucose using sunlight and water."
Easy,"What is the unit of measurement for force?","The Newton (N) is the unit of measurement for force in the International System of Units (SI)."
Easy,"What type of reproduction involves only one parent?","Asexual reproduction involves only one parent and produces offspring that are genetically identical to the parent organism."
Easy,"What is the outermost layer of Earth called?","The crust is the outermost layer of Earth, which includes both continental and oceanic crust where we live."
Easy,"Which type of energy is stored in food?","Chemical energy is stored in food in the form of molecular bonds that can be broken down to release energy during digestion."
Easy,"What is the basic unit of heredity?","The gene is the basic unit of heredity, containing DNA instructions that determine specific traits passed from parents to offspring."
Easy,"What happens to particles when a substance is heated?","When a substance is heated, its particles move faster and spread farther apart, potentially causing changes in state from solid to liquid to gas."
Easy,"Which part of the digestive system absorbs most nutrients?","The small intestine absorbs most nutrients from digested food through its specialized villi and microvilli structures."
Easy,"What is the term for a group of similar cells working together?","A tissue is a group of similar cells working together to perform a specific function in an organism."
Easy,"What type of bond forms when electrons are shared between atoms?","A covalent bond forms when electrons are shared between atoms, typically between nonmetal elements."
Easy,"Which planet is known as the Red Planet?","Mars is known as the Red Planet due to iron oxide (rust) on its surface, giving it a reddish appearance."
Easy,"What is the process by which plants lose water through their leaves?","Transpiration is the process by which plants lose water vapor through tiny pores called stomata in their leaves."
Easy,"What are the two main types of reproduction?","The two main types of reproduction are sexual reproduction (involving two parents) and asexual reproduction (involving one parent)."
Easy,"Which type of rock is formed by cooling and solidification of magma?","Igneous rock is formed by the cooling and solidification of magma either above ground (extrusive) or below ground (intrusive)."
Easy,"What is the smallest bone in the human body?","The stapes (stirrup bone) in the middle ear is the smallest bone in the human body, measuring about 2-3 millimeters."
